name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Jet Black Heart,Sounds Good Feels Good,5 Seconds of Summer,7pSwZFKtQ2TXA5NaN53N9C,2015-10-23,42,221715,0.507,0.000163,0.85,0.0,0.0812,0.545,-4.274,0.033,153.957,11,4,happy
Don't Stop,5 Seconds Of Summer,5 Seconds of Summer,4PCVZGch6Q57RVAcai9L8u,2014-06-27,59,169935,0.571,0.00209,0.957,1.5e-05,0.0425,0.892,-3.468,0.0633,149.946,8,4,happy
Disconnected,She Looks So Perfect (B-Sides),5 Seconds of Summer,3Y3nRbS2YvT8LsYxvDylny,2014,62,210424,0.624,0.12,0.891,0.0,0.223,0.693,-4.812,0.083,99.945,2,4,happy
Permanent Vacation,Sounds Good Feels Good,5 Seconds of Summer,4TvyzAJaES4lKQGXoLIROb,2015-10-23,37,205914,0.548,0.00243,0.938,0.0,0.353,0.744,-4.073,0.0535,155.038,8,4,happy
Vapor,Sounds Good Feels Good,5 Seconds of Summer,6eUS95qbDzTek1OcKqrG2w,2015-10-23,35,179091,0.507,0.0117,0.861,0.0,0.121,0.531,-4.574,0.0434,155.071,1,4,happy
Waste The Night,Sounds Good Feels Good,5 Seconds of Summer,62BelQnQ2BSWDCYnpI1ziE,2015-10-23,37,266639,0.533,0.0159,0.904,0.0,0.283,0.323,-4.741,0.0656,75.667,8,4,happy
Catch Fire,Sounds Good Feels Good,5 Seconds of Summer,5aIfGkYlCw6A3XAuV1Wc7J,2015-10-23,32,207432,0.621,0.0054,0.936,0.0,0.0755,0.797,-3.418,0.0355,116.029,1,4,happy
Love Me Again,Tribute,John Newman,5TbzAWWc5eJaANpA9kfGCd,2013-01-01,76,239894,0.495,0.00453,0.894,0.000596,0.103,0.213,-4.814,0.0441,126.03,2,4,happy
Come And Get It,Revolve (The Deluxe Edition),John Newman,161nSMdnYYUTEOhipcA7JF,2015-10-16,55,184107,0.649,0.00273,0.718,8.94e-05,0.115,0.801,-4.861,0.0423,109.003,1,4,happy
Freaks,Buds,Surf Curse,0HUTL8i4y4MiGCPId7M7wb,2015-05-10,2,147036,0.346,4.16e-05,0.944,0.565,0.0546,0.403,-9.874,0.0485,179.63,9,4,happy
Hot Rod,Fuzzybrain,Dayglow,0zePbRMJ9sd7wsZRlbPQua,2019-11-14,77,204014,0.707,0.0279,0.767,0.000295,0.169,0.832,-7.072,0.0323,139.985,7,4,happy
Greek Tragedy,Glitterbug,The Wombats,1tTV7mRV9uB2Nr9VcwkuFX,2015-01-13,61,209557,0.515,0.00257,0.869,2.01e-06,0.21,0.452,-4.732,0.0672,93.24,11,4,happy
"Dance, Baby!",Roy Pablo,boy pablo,5EV4bGHxVN0kHpcAFvgnTt,2017-05-19,70,198000,0.602,0.037,0.601,0.0046,0.312,0.856,-8.521,0.0411,122.017,9,4,happy
Passport,What's It Like Over There?,Circa Waves,4LriPWxZjJPQ9KVyvMTIek,2019-04-05,32,206638,0.732,0.414,0.516,0.000109,0.24,0.298,-9.291,0.0314,83.004,11,4,happy
These Days,Spring EP,Wallows,4gZDCOFuLCxCRWNhSEcOtJ,2018-04-06,67,202626,0.655,0.0398,0.668,0.0302,0.0759,0.867,-6.733,0.0272,93.003,0,4,happy
Ribs,Pure Heroine (Extended),Lorde,0TEekvXTomKt3hdXDZxxeW,2013-01-01,8,258969,0.511,0.534,0.472,0.614,0.11,0.0399,-9.277,0.091,127.978,4,4,happy
Style,1989,Taylor Swift,71PmZqBXH0RUETqxpwlV0w,2014-01-01,61,231000,0.598,0.00256,0.786,0.00143,0.117,0.456,-5.572,0.0382,95.021,2,4,happy
Runaway Baby,Doo-Wops & Hooligans,Bruno Mars,5MMLS3xm12D7N26xlfFApr,2010-10-05,72,148448,0.658,0.263,0.762,0.0,0.127,0.823,-3.028,0.0425,163.864,10,4,happy
Promiscuous,Loose,Nelly Furtado,2gam98EZKrF9XuOkU13ApN,2006-01-01,83,242293,0.808,0.0569,0.97,6.13e-05,0.154,0.868,-6.098,0.0506,114.328,10,4,happy
Back To Black,Back To Black,Amy Winehouse,2s4BsyV3KhhrtsdtNfzoqb,2006-01-01,0,240440,0.49,0.123,0.725,2.68e-05,0.0983,0.335,-3.304,0.0392,123.28,10,4,happy
Blank Space,1989 (Deluxe),Taylor Swift,1u8c2t2Cy7UBoG4ArRcF5g,2014-01-01,84,231826,0.76,0.103,0.703,0.0,0.0913,0.57,-5.412,0.054,95.997,5,4,happy
Valerie - Glee Cast Version,"Glee: The Music, Volume 4",Glee Cast,4hBW3h6FnQNh7NRmyxLLG7,2010-11-26,59,213413,0.651,0.00308,0.889,0.0,0.417,0.813,-5.236,0.0694,107.009,5,4,happy
Potential Breakup Song,Potential Breakup Song,Aly & AJ,2ieu0FHqTpBUrMoCFVL3cb,2020-12-29,64,218333,0.554,0.000469,0.899,0.000365,0.0867,0.556,-4.149,0.0385,157.995,6,4,happy
I Know What You Did Last Summer,Handwritten,Shawn Mendes,2GyA33q5rti5IxkMQemRDH,2015-04-14,73,223853,0.687,0.102,0.761,0.0,0.147,0.743,-4.582,0.0876,113.939,9,4,happy
Paper Planes,Kala,M.I.A.,1ixbwbeBi5ufN4noUKmW5a,2007-08-20,78,205200,0.447,0.033,0.848,7.46e-05,0.65,0.485,-6.175,0.222,172.253,2,4,happy
Little Dark Age,Little Dark Age,MGMT,2Y0iGXY6m6immVb2ktbseM,2018-02-09,82,299960,0.705,0.0102,0.712,0.000855,0.1,0.62,-6.156,0.0385,97.512,6,4,happy
Sofia,Immunity,Clairo,7B3z0ySL9Rr0XvZEAjWZzM,2019-08-02,80,188386,0.744,0.598,0.619,0.00372,0.231,0.641,-9.805,0.039,112.997,0,4,happy
Wildfire,Tell Me It's Real (Expanded Edition),Seafret,2Ro9FLIVhPwIQopSr48oJT,2016-01-29,58,224800,0.587,0.252,0.58,0.00243,0.105,0.193,-7.867,0.0329,131.953,6,4,happy
Habits (Stay High),Queen Of The Clouds,Tove Lo,18AJRdgUoO9EYn11N7xzaT,2014-09-24,75,209160,0.733,0.0703,0.65,6.59e-05,0.0829,0.348,-3.539,0.0315,110.003,5,4,happy
Radioactive,Night Visions,Imagine Dragons,4G8gkOterJn0Ywt6uhqbhp,2012-09-04,73,186813,0.448,0.106,0.784,0.000108,0.668,0.236,-3.686,0.0627,136.245,9,4,happy
Feeling Good,It's Time,Michael Bublé,3I09LQbHS3NSU46Ly3tPpR,2005-02-07,68,237333,0.535,0.533,0.548,1.48e-06,0.123,0.477,-6.51,0.037,115.144,1,3,happy
Habits (Stay High),Queen Of The Clouds (Blueprint Edition),Tove Lo,6YL5zD4SggAZAQcdPv5r0C,2015-10-02,45,209160,0.733,0.0703,0.65,6.59e-05,0.0829,0.348,-3.539,0.0315,110.003,5,4,happy
I'm in Love With an E-Girl,I'm in Love With an E-Girl,Wilbur Soot,44wBlg3Y1KSAEmaze5BXe7,2020-01-24,64,239307,0.708,0.831,0.434,0.019,0.105,0.374,-12.522,0.0681,80.045,7,4,happy
Afraid,I Love You.,The Neighbourhood,6y6y7GCq8M4Uy8Tg87dTTJ,2013-04-19,56,251186,0.349,0.00704,0.698,0.323,0.336,0.383,-5.676,0.0689,167.653,6,4,happy
Bubblegum Bitch,Electra Heart (Deluxe),MARINA,6IbnUaczZBT34DhaD6S18F,2012-04-30,79,154666,0.495,0.000219,0.856,0.0,0.103,0.609,-5.123,0.0311,158.024,0,4,happy
This Charming Man - 2011 Remaster,The Smiths,The Smiths,1FvDJ9KGxcqwv1utyPL3JZ,1984-02-20,76,162920,0.611,0.00509,0.846,0.0,0.0784,0.751,-5.9,0.0436,103.912,11,4,happy
This Side of Paradise,Color,Coyote Theory,79EkGysjP2dL5GdpeQjRxT,2020-12-11,83,242010,0.306,0.432,0.664,7.5e-06,0.135,0.321,-6.07,0.0276,158.283,9,4,happy
Sports,Sports,Beach Bunny,77G0k1La0c5Dw8bAFANcyp,2018-01-01,75,164165,0.231,0.000653,0.877,0.026,0.0694,0.524,-5.278,0.0574,186.142,9,4,happy
